x,y,time,id_pan
-185865.062491869,6124621.733738306,1652880648373,19
-185903.28100601156,6124593.069852698,1652880648474,19
-185912.8356345472,6124583.515224162,1652880648574,19
-185912.8356345472,6124583.515224162,1652880648674,19
-185912.8356345472,6124583.515224162,1652880648776,19
-185912.8356345472,6124583.515224162,1652880648873,19
-185912.8356345472,6124583.515224162,1652880648974,19
-185912.8356345472,6124583.515224162,1652880649073,19
-185912.8356345472,6124583.515224162,1652880649174,19
-185912.8356345472,6124583.515224162,1652880649278,19
-185912.8356345472,6124583.515224162,1652880649374,19
-185931.9448916185,6124526.187452949,1652880649473,19
-186084.8189481889,6124153.556940057,1652880649574,19
-186170.81060500976,6123886.027341059,1652880649674,19
-182419.9353040164,6125440.802200185,1652880651973,20
-182381.71678987378,6125698.777170649,1652880652074,20
-182333.94364719559,6125928.088255506,1652880652173,20
-182286.17050451736,6126071.407683542,1652880652273,20
-182267.06124744605,6126138.290083293,1652880652374,20
-182267.06124744605,6126138.290083293,1652880652478,20
-182267.06124744605,6126138.290083293,1652880652588,20
-182267.06124744605,6126138.290083293,1652880652680,20
-182267.06124744605,6126138.290083293,1652880652774,20
-182324.38901865997,6126052.29842647,1652880652873,20
-182467.7084466947,6126004.52528379,1652880652974,20
-182620.58250326506,6125994.970655254,1652880653073,20
-182897.66673079884,6126100.071569147,1652880653173,20
-182945.4398734771,6126166.953968898,1652880653273,20
-182945.4398734771,6126166.953968898,1652880653377,20
-182945.4398734771,6126166.953968898,1652880653474,20
-182945.4398734771,6126166.953968898,1652880653574,20
-182945.4398734771,6126166.953968898,1652880653674,20
-182945.4398734771,6126224.281740112,1652880653773,20
-183318.07038636736,6126921.769623216,1652880653873,20
-183614.26387097244,6127351.7279073205,1652880653973,20
-183662.03701365067,6127437.719564142,1652880654074,20
-183748.0286704715,6127495.047335357,1652880654173,20
-183958.23049825575,6127514.15659243,1652880654273,20
-184206.65084018258,6127399.501050001,1652880654374,20
-184378.63415382424,6127294.400136108,1652880654473,20
-184502.8443247877,6127217.963107821,1652880654574,20
-184531.50821039465,6127198.853850748,1652880654673,20
-184541.0628389303,6127103.307565391,1652880654774,20
-184541.0628389303,6127045.979794176,1652880654874,20
-184541.0628389303,6127045.979794176,1652880654974,20
-184541.0628389303,6127045.979794176,1652880655073,20
-184541.0628389303,6127045.979794176,1652880655173,20
-184541.0628389303,6127045.979794176,1652880655273,20
-184541.0628389303,6127045.979794176,1652880655374,20
-184531.50821039465,6126988.652022962,1652880655473,20
-184502.84432478773,6126788.004823713,1652880655573,20
-184493.2896962521,6126759.340938105,1652880655673,20
-184464.62581064517,6126673.349281283,1652880655773,20
-184455.07118210953,6126654.240024212,1652880655878,20
-184455.07118210953,6126654.240024212,1652880655973,20
-184445.5165535739,6126587.357624462,1652880656074,20
-184340.41563968177,6126577.802995925,1652880656174,20
-184091.99529775494,6126558.693738853,1652880656272,20
-183920.01198411325,6126568.248367389,1652880656374,20
-183900.90272704198,6126587.357624462,1652880656473,20
-183900.90272704198,6126587.357624462,1652880656573,20
-183900.90272704198,6126587.357624462,1652880656673,20
-183900.90272704198,6126587.357624462,1652880656774,20
-183900.90272704198,6126587.357624462,1652880656873,20
-183900.90272704198,6126587.357624462,1652880656973,20
-183900.90272704198,6126587.357624462,1652880657073,20
-183900.90272704198,6126587.357624462,1652880657173,20
-186065.932650081,6125389.406700132,1652880658573,21
-186092.20787855398,6125398.9613286685,1652880658673,21
-186139.9810212322,6125410.904614339,1652880658774,21
-186154.31296403563,6125413.293271473,1652880658873,21
-186171.03356397303,6125413.293271473,1652880658974,21
-186192.5314781782,6125408.515957205,1652880659073,21
-186209.2520781156,6125403.738642937,1652880659173,21
-186209.2520781156,6125403.738642937,1652880659273,21
-186211.64073524947,6125403.738642937,1652880659374,21
-184976.8036481265,6125056.243032242,1652880662273,22
-184788.09973454743,6124972.640032557,1652880662373,22
-184620.89373517357,6124927.255547011,1652880662473,22
-184525.34744981714,6124886.648375734,1652880662573,22
-184458.46505006764,6124860.3731472595,1652880662673,22
-185108.071020502,6124826.196380875,1652880664274,23
-185031.63399221678,6124799.921152402,1652880664374,23
-185029.2453350829,6124790.366523866,1652880664473,23
233981.68796159927,6348968.605129652,1652880684472,24
230618.45871705152,6350955.967865065,1652880684573,24
229319.02923620355,6351720.338147916,1652880684672,24
232134.5322353281,6347863.349444488,1652880692573,25
