# timestamps [seconds],pts
151010.678821,10729842
151010.808067,10738312
151010.967336,10748750
151011.091664,10756898
151011.215901,10765040
151011.329718,10772499
151011.470903,10781751
151011.679973,10795453
151011.824329,10804913
151011.929282,10811791
151012.051754,10819817
151012.170768,10827617
151012.288070,10835304
151012.407666,10843142
151012.550648,10852512
151012.705148,10862638
151012.914707,10876371
151013.049903,10885231
151013.158286,10892334
151013.248923,10898274
151013.400278,10908193
151013.558509,10918563
151013.707575,10928332
151013.851800,10937783
151013.984093,10946453
151014.120290,10955379
151014.291179,10966578
151014.459711,10977623
151014.592004,10986293
151014.712523,10994191
151014.830231,11001905
151014.987070,11012183
151015.188138,11025360
151015.331495,11034755
151015.428526,11041114
151015.547752,11048928
151015.713895,11059816
151015.843280,11068295
151015.968607,11076508
151016.123497,11086659
151016.277932,11096780
151016.437171,11107216
151016.593817,11117482
151016.736249,11126816
151016.870507,11135614
151017.001643,11144208
151017.164253,11154865
151017.312940,11164609
151017.451034,11173659
151017.579124,11182054
151017.724862,11191605
151017.886909,11202224
151018.001104,11209708
151018.135605,11218523
151018.314257,11230231
151018.490363,11241772
151018.642389,11251735
151018.752320,11258939
151018.870165,11266662
151018.999069,11275110
151019.122671,11283210
151019.220110,11289596
151019.319524,11296111
151019.424633,11302999
151019.600359,11314515
151019.772052,11325767
151019.899862,11334143
151020.034747,11342983
151020.149702,11350516
151020.279346,11359013
151020.406870,11367370
151020.565986,11377798
151020.682869,11385458
151020.828522,11395003
151020.956167,11403368
151021.093707,11412382
151021.278941,11424521
151021.387150,11431613
151021.492465,11438514
151021.589790,11444893
151021.700469,11452146
151021.856477,11462370
151022.062660,11475882
151022.183286,11483787
151022.279990,11490125
151022.394475,11497628
151022.543492,11507393
151022.648964,11514306
151022.750058,11520931
151022.843733,11527070
151022.929557,11532694
151023.074154,11542170
151023.221477,11551825
151023.359348,11560861
151023.487156,11569237
151023.624833,11578259
151023.774936,11588096
151023.913722,11597192
151024.028548,11604717
151024.170291,11614006
151024.308293,11623050
151024.409853,11629705
151024.531723,11637692
151024.687211,11647882
151024.806341,11655689
151024.911237,11662564
151025.051147,11671733
151025.185657,11680548
151025.356526,11691746
151025.517728,11702310
151025.642628,11710495
151025.742609,11717048
151025.834738,11723085
151025.936581,11729760
151026.094735,11740124
151026.215866,11748063
151026.335331,11755892
151026.495143,11766365
151026.639099,11775799
151026.754822,11783383
151026.860440,11790305
151026.961612,11796935
151027.070934,11804099
151027.189694,11811882
151027.298839,11819035
151027.430599,11827670
151027.559438,11836114
151027.708414,11845877
151027.857435,11855643
151027.971815,11863139
151028.089651,11870861
151028.203137,11878298
151028.315870,11885686
151028.438782,11893741
151028.564485,11901979
151028.747902,11914000
151028.892499,11923476
151029.014709,11931485
151029.534775,11965567
151029.687335,11975565
151029.806923,11983402
151029.962654,11993608
151030.134218,12004852
151030.284387,12014693
151030.418161,12023460
151030.570894,12033469
151030.725735,12043617
151030.845690,12051478
151030.971335,12059712
151031.090549,12067525
151031.236666,12077101
151031.399231,12087754
151031.563723,12098534
