world_index,id_fixation,x,y,zoom,etape,id_pan
2490,446,258969.3710498827,6247712.423409851,18.0,2,9
2491,446,258969.200780701,6247712.7114887005,18.0,2,9
2492,446,258968.09708012425,6247713.383752695,18.0,2,9
2493,446,258970.7223794148,6247715.143593862,18.0,2,9
2494,446,258966.41413857552,6247711.247571534,18.0,2,9
2495,446,258962.9035010461,6247702.122441,18.0,2,9
2495,447,259011.75413248315,6247709.292044674,18.0,2,9
2496,447,259015.03901556143,6247714.27822287,18.0,2,9
2497,447,259017.13766950523,6247713.429132183,18.0,2,9
2498,447,259013.8469285474,6247671.501074294,18.0,2,9
2499,447,259014.84496632768,6247671.931193621,18.0,2,9
2500,447,259011.9091982864,6247667.384437539,18.0,2,9
2501,447,259024.890297911,6247588.039703623,18.0,2,9
2502,447,259030.26385728893,6247588.185165375,18.0,2,9
2502,448,259018.60757696023,6247600.089349157,18.0,2,9
2503,448,259014.9143451249,6247595.628701512,18.0,2,9
2504,448,259032.5255397884,6247562.869739573,18.0,2,9
2505,448,259032.3860748746,6247558.076536534,18.0,2,9
2507,449,258958.8645142252,6247504.466351406,18.0,2,9
2508,449,258958.92646446128,6247504.784587428,18.0,2,9
2509,449,258960.08417871883,6247505.299315983,18.0,2,9
2510,449,258960.55367471653,6247505.453407798,18.0,2,9
2510,450,258943.3402224376,6247509.254384095,18.0,2,9
2511,450,258943.2329969325,6247508.929536175,18.0,2,9
2512,450,258944.20704736264,6247505.43678195,18.0,2,9
2513,450,258944.19358437695,6247502.123202466,18.0,2,9
2514,450,258943.66104470272,6247501.292332939,18.0,2,9
2515,450,258942.50119481928,6247498.814716451,18.0,2,9
2516,450,258940.44154594693,6247496.772485743,18.0,2,9
2519,451,259355.71981097895,6247606.326999858,18.0,2,9
2520,451,259366.25148779407,6247616.113800258,18.0,2,9
2521,451,259358.8724048466,6247607.758706376,18.0,2,9
2522,451,259385.12256619704,6247598.488846753,18.0,2,9
2522,452,259391.66400541176,6247640.034591158,18.0,2,9
2523,452,259405.14339268825,6247638.669849325,18.0,2,9
2524,452,259408.54816126204,6247636.996731656,18.0,2,9
2525,452,259522.43053649625,6247549.114891864,18.0,2,9
2525,453,259469.41411900995,6247557.967108201,18.0,2,9
2526,453,259454.36930086423,6247548.133063485,18.0,2,9
2527,453,259469.95345851703,6247552.793567274,18.0,2,9
2528,453,259546.14710062376,6247521.502201474,18.0,2,9
2528,454,259505.07306899663,6247540.695195298,18.0,2,9
2529,454,259517.9958609087,6247543.702263346,18.0,2,9
2530,454,259505.14093064523,6247532.523581579,18.0,2,9
2531,454,259521.13856369612,6247539.097289532,18.0,2,9
2532,454,259517.89702528107,6247536.336053382,18.0,2,9
2533,454,259524.56318504832,6247537.49636456,18.0,2,9
2534,454,259517.97394198345,6247538.709647804,18.0,2,9
2535,454,259508.25892851228,6247531.198339714,18.0,2,9
2535,455,259526.04674456303,6247534.864521712,18.0,2,9
2536,455,259540.97350530903,6247544.536844022,18.0,2,9
2537,455,259538.4818278597,6247539.946879956,18.0,2,9
2538,455,259526.8668932485,6247536.301879096,18.0,2,9
2539,455,259528.0752816373,6247532.022751109,18.0,2,9
2540,455,259554.56674707343,6247543.049436109,18.0,2,9
2541,455,259529.7925298805,6247533.128898543,18.0,2,9
2542,455,259547.86327365047,6247543.434502272,18.0,2,9
2542,456,259531.39428347503,6247537.455732142,18.0,2,9
2543,456,259516.7012114575,6247525.047429594,18.0,2,9
2544,456,259522.94711421776,6247520.155586265,18.0,2,9
2545,456,259544.8873387572,6247526.123785047,18.0,2,9
2546,456,259525.0266329535,6247515.857814264,18.0,2,9
2547,456,259526.5141903599,6247515.716850141,18.0,2,9
2558,459,259505.77505777217,6247674.368394103,18.0,2,9
2559,459,259512.94621618208,6247687.508464593,18.0,2,9
2560,459,259501.03359240547,6247679.329623917,18.0,2,9
2561,459,259504.97006007115,6247687.657559472,18.0,2,9
2562,459,259515.55206931743,6247700.101035778,18.0,2,9
2563,459,259518.1485462009,6247697.045993031,18.0,2,9
2564,459,259518.0930199275,6247697.651289208,18.0,2,9
2565,460,259506.5174150028,6247689.06224178,18.0,2,9
2566,460,259494.37633050996,6247681.74310158,18.0,2,9
2567,460,259504.46263535743,6247689.189636136,18.0,2,9
2568,460,259494.5599259972,6247683.320077643,18.0,2,9
2569,461,259519.86179655237,6247554.554790619,18.0,2,9
2570,461,259506.28659655555,6247575.180451992,18.0,2,9
2571,461,259531.6038436172,6247558.170960529,18.0,2,9
2572,461,259515.31868811915,6247550.425160715,18.0,2,9
2573,461,259528.0807442835,6247553.844434461,18.0,2,9
2574,461,259517.28418151688,6247549.556042128,18.0,2,9
2575,461,259519.1169927487,6247561.713131001,18.0,2,9
2597,466,259970.03796916825,6247609.237863414,17.0,2,10
2598,466,259961.76472528416,6247608.12806406,17.0,2,10
2599,466,259989.7790799216,6247618.430784693,17.0,2,10
2600,466,259994.34241700327,6247631.449227018,17.0,2,10
2601,466,260009.9471791748,6247613.918625751,17.0,2,10
2602,466,259950.8013445073,6247596.396327796,17.0,2,10
2603,466,260007.00558742404,6247585.4389546765,17.0,2,10
2604,466,259950.96840398564,6247592.510994418,17.0,2,10
2607,467,260016.98755982768,6247554.339277817,17.0,2,10
2608,467,259995.1292749827,6247519.04788898,17.0,2,10
2609,467,260083.492020994,6247462.5929942,17.0,2,10
2609,468,260026.41237875665,6247479.956914137,17.0,2,10
2610,468,260006.5037665927,6247476.972564878,17.0,2,10
2611,468,260026.4746775269,6247460.663120194,17.0,2,10
2612,468,260048.0181881993,6247471.124449492,17.0,2,10
2613,468,260032.7917564271,6247460.442159796,17.0,2,10
2614,468,260067.00769531613,6247480.795426358,17.0,2,10
2615,468,260035.25418434408,6247458.761200109,17.0,2,10
2616,468,260034.88883855025,6247461.637375644,17.0,2,10
2616,469,260054.5948225288,6247454.526587108,17.0,2,10
2617,469,260042.14176580455,6247445.522104916,17.0,2,10
2618,469,260051.8388058482,6247450.9833787205,17.0,2,10
2619,470,259889.89186782908,6247353.158121407,17.0,2,10
2620,470,259885.3202616039,6247350.645907779,17.0,2,10
2621,470,259913.0955628206,6247359.449803444,17.0,2,10
2622,470,259872.1388368529,6247342.1454674695,17.0,2,10
2623,470,259894.7677238624,6247348.976864884,17.0,2,10
2624,470,259887.26692732365,6247347.786185104,17.0,2,10
2625,470,259874.90510453784,6247333.823163987,17.0,2,10
2625,471,259891.9768537671,6247308.638137796,17.0,2,10
2626,471,259892.9914981744,6247315.343255651,17.0,2,10
2627,471,259861.09980366417,6247301.799167452,17.0,2,10
2628,471,259880.14630636503,6247308.593853458,17.0,2,10
2629,471,259857.9891614622,6247268.540881374,17.0,2,10
2630,471,259880.92475852085,6247270.0555441445,17.0,2,10
2630,472,259696.1676273959,6247275.5750949085,17.0,2,10
2631,472,259692.9604981853,6247277.408935512,17.0,2,10
2632,472,259704.1436377147,6247164.094977614,17.0,2,10
2633,472,259707.3677835925,6247165.03267542,17.0,2,10
2634,472,259722.2173201059,6247167.784531901,17.0,2,10
2635,472,259718.9408986621,6247118.568730076,17.0,2,10
2636,472,259723.13642970892,6247121.918924865,17.0,2,10
2637,472,259725.20214375888,6247121.191001048,17.0,2,10
2673,478,259618.77765208136,6247472.762831065,17.0,2,11
2674,478,259606.3530248091,6247475.390906669,17.0,2,11
2675,478,259604.62989932345,6247478.042431446,17.0,2,11
2675,479,259575.21382235576,6247502.830897535,17.0,2,11
2676,479,259575.53700235183,6247501.780528378,17.0,2,11
2677,479,259556.585487735,6247468.526730529,17.0,2,11
2678,479,259562.50947478967,6247484.364455316,17.0,2,11
2679,479,259553.7609943456,6247469.671742084,17.0,2,11
2680,479,259547.7146695273,6247438.898542626,17.0,2,11
2681,480,259445.79272647592,6247013.172206261,17.0,2,11
2682,480,259439.9435034127,6247006.082252891,17.0,2,11
2683,480,259434.46647153623,6246983.0769797545,17.0,2,11
2684,480,259438.4413668001,6246979.848720661,17.0,2,11
2685,480,259447.56561489252,6246980.569186872,17.0,2,11
2686,480,259439.54534301505,6246946.547440729,17.0,2,11
2687,480,259433.15906983567,6246944.50301887,17.0,2,11
2688,480,259427.41481705665,6246950.192902884,17.0,2,11
2689,481,259619.1672950335,6246906.90464379,17.0,2,11
2690,481,259624.48824967424,6246908.873759209,17.0,2,11
2691,481,259639.96617275232,6246911.437637898,17.0,2,11
2692,481,259631.1396297713,6246883.589770961,17.0,2,11
2693,481,259634.3296739747,6246881.398042169,17.0,2,11
2694,481,259641.5336014284,6246881.835119366,17.0,2,11
2695,482,259586.82576822984,6246905.290711433,17.0,2,11
2696,482,259578.98149470644,6246896.505690429,17.0,2,11
2697,482,259577.9799715847,6246892.640536438,17.0,2,11
2698,482,259577.0707758418,6246889.368338977,17.0,2,11
2699,482,259574.45711144115,6246889.105554481,17.0,2,11
2700,482,259568.0554959253,6246899.893365453,17.0,2,11
2701,482,259578.4824758163,6246896.888488558,17.0,2,11
2701,483,259679.6668591071,6246895.528513443,17.0,2,11
2702,483,259662.5407112149,6246885.768737253,17.0,2,11
2703,483,259677.1712179361,6246886.965644516,17.0,2,11
2704,483,259679.15724751248,6246886.914325426,17.0,2,11
2705,483,259653.9444240149,6246881.504255388,17.0,2,11
2706,483,259672.82048668395,6246890.080809404,17.0,2,11
2707,483,259667.2487924776,6246884.819199536,17.0,2,11
2707,484,259656.9595860846,6246900.633936446,17.0,2,11
2708,484,259663.8424520831,6246892.746442126,17.0,2,11
2709,484,259645.7002929831,6246886.669800532,17.0,2,11
2710,484,259642.6864293739,6246885.350726924,17.0,2,11
2711,484,259659.93921133937,6246884.827425967,17.0,2,11
2712,484,259637.8431715343,6246879.581461694,17.0,2,11
2713,484,259630.3282286096,6246875.397091429,17.0,2,11
2714,484,259648.065199679,6246872.382834864,17.0,2,11
2714,485,259771.5285690319,6246900.48374642,17.0,2,11
